debugBuffer1[174], 0x00000032,
debugBuffer1[175], 0x00000032,
debugBuffer1[176], 0x00000033,
debugBuffer1[177], 0x00000032,
debugBuffer1[178], 0x00000032,
debugBuffer1[179], 0x00000032,
debugBuffer1[180], 0x00000032,
debugBuffer1[181], 0x00000032,
debugBuffer1[182], 0x00000032,
debugBuffer1[183], 0x00000032,
debugBuffer1[184], 0x00000032,
debugBuffer1[185], 0x00000032,
debugBuffer1[186], 0x00000032,
debugBuffer1[187], 0x00000032,
debugBuffer1[188], 0x00000032,
debugBuffer1[189], 0x00000032,
debugBuffer1[190], 0x00000032,
debugBuffer1[191], 0x00000032,
debugBuffer1[192], 0x00000032,
debugBuffer1[193], 0x00000031,
debugBuffer1[194], 0x00000032,
debugBuffer1[195], 0x00000032,
debugBuffer1[196], 0x00000032,
debugBuffer1[197], 0x00000031,
debugBuffer1[198], 0x00000032,
debugBuffer1[199], 0x00000031,
debugBuffer1[200], 0x00000031,
debugBuffer1[201], 0x00000031,
debugBuffer1[202], 0x00000031,
debugBuffer1[203], 0x00000031,
debugBuffer1[204], 0x00000031,
debugBuffer1[205], 0x0000002F,
debugBuffer1[206], 0x00000031,
debugBuffer1[207], 0x00000030,
debugBuffer1[208], 0x00000031,
debugBuffer1[209], 0x00000031,
debugBuffer1[210], 0x00000031,
debugBuffer1[211], 0x00000031,
debugBuffer1[212], 0x00000030,
debugBuffer1[213], 0x00000031,
debugBuffer1[214], 0x00000030,
debugBuffer1[215], 0x00000030,
debugBuffer1[216], 0x00000030,
debugBuffer1[217], 0x00000030,
debugBuffer1[218], 0x00000030,
debugBuffer1[219], 0x00000030,
debugBuffer1[220], 0x00000030,
debugBuffer1[221], 0x00000031,
debugBuffer1[222], 0x00000030,
debugBuffer1[223], 0x00000030,
debugBuffer1[224], 0x00000031,
debugBuffer1[225], 0x00000030,
debugBuffer1[226], 0x0000002F,
debugBuffer1[227], 0x00000030,
debugBuffer1[228], 0x00000030,
debugBuffer1[229], 0x00000030,
debugBuffer1[230], 0x00000030,
debugBuffer1[231], 0x00000030,
debugBuffer1[232], 0x00000030,
debugBuffer1[233], 0x00000030,
debugBuffer1[234], 0x00000030,
debugBuffer1[235], 0x00000030,
debugBuffer1[236], 0x00000030,
debugBuffer1[237], 0x0000002F,
debugBuffer1[238], 0x00000030,
debugBuffer1[239], 0x00000030,
debugBuffer1[240], 0x00000030,
debugBuffer1[241], 0x0000002F,
debugBuffer1[242], 0x00000030,
debugBuffer1[243], 0x00000030,
debugBuffer1[244], 0x0000002F,
debugBuffer1[245], 0x00000030,
debugBuffer1[246], 0x00000030,
debugBuffer1[247], 0x0000002F,
debugBuffer1[248], 0x00000030,
debugBuffer1[249], 0x00000030,
debugBuffer1[250], 0x00000030,
debugBuffer1[251], 0x00000030,
debugBuffer1[252], 0x00000030,
debugBuffer1[253], 0x00000030,
debugBuffer1[254], 0x00000030,
debugBuffer1[255], 0x00000032,
debugBuffer1[256], 0x0000003F,
debugBuffer1[257], 0x0000002E,
debugBuffer1[258], 0x0000002E,
debugBuffer1[259], 0x0000002E,
debugBuffer1[260], 0x0000002D,
debugBuffer1[261], 0x0000002F,
debugBuffer1[262], 0x0000002E,
